,course_code,campus,year,name,description,credits,is_honours,restrictions,equivalent_string,co-req_string,pre-req_string,courses_in_equivalent_string,courses_in_co-req_string,courses_in_pre-req_string,winter_term_1,winter_term_2,summer_term_1,summer_term_2,duration_terms,pre_req_json
778,GEOG 217,UBCO,2023,GEOG 217 Geographies of British Columbia,"Human geographies of British Columbia (BC) using a combined thematic and case study approach to understand links between the spatiality and temporality of the province and its current context. Particular emphasis will be on introducing the application of critical and justice-oriented topics, such as racism, colonialism, resource extraction, and labour, as they continue to impact the people and places of so-called BC.",3,False,,,,,,,,False,True,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[]}"
779,GEOG 222,UBCO,2023,GEOG 222 Geomorphology,"Landform assemblages and processes of landscape evolution on Earth. Fundamental concepts, including system equilibrium, thresholds, complex response to external forces, and scale dependency, with application to mountains, rivers, coasts, and glaciated terrain. Laboratory exercises require field work in lab time. Required one-day, weekend trip. Credit will be granted for only one of GEOG 222 or EESC 222.",3,False,,EESC 222,,Either (a) GEOG 108 and GEOG 109; or (b) MATH 100 and EESC 111. (or (c) second-year standing in the Bachelor of Science.),EESC 222,,"GEOG 108,GEOG 109,MATH 100,EESC 111",True,False,False,False,1,"{""type"":""ROOT"",""subtype"":""OR"",""value"":"""",""childNodes"":[{""type"":""INNER"",""subtype"":""AND"",""value"":"""",""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 108"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 109"",""childNodes"":[]}]},{""type"":""INNER"",""subtype"":""AND"",""value"":"""",""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""MATH 100"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""EESC 111"",""childNodes"":[]}]},{""type"":""INNER"",""subtype"":""Year"",""value"":""2"",""childNodes"":[{""type"":""INNER"",""subtype"":""PROGRAM"",""value"":""B.Sc."",""childNodes"":[]}]}]}"
780,GEOG 233,UBCO,2023,GEOG 233 Climate Change and Society,"Critical exploration of climate change as a physical, social, cultural and political challenge. Approaches major climate change themes of knowledge, causes, impacts, responses and governance from a human geography perspective. Emphasizes critical thinking, local-global connections and social justice.",3,False,,,,,,,,True,False,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[]}"
781,GEOG 250,UBCO,2023,GEOG 250 Introduction to Urban Geography,"Examination of how cities emerge, function, and change. Introduces the city in its historical and geographical perspective, focusing on the complex relationship between economic, political, cultural, and environmental phenomena. Students will complete fieldwork projects examining these urban processes at work.",3,False,,,,GEOG 128.,,,GEOG 128,True,False,False,False,1,"{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 128"",""childNodes"":[]}"
782,GEOG 270,UBCO,2023,GEOG 270 Introduction to Cartography and Mapmaking,The theory and practice of cartography and map making; thematic map design techniques; cartographic conventions; spatial data acquisition; cartographic communication; critical cartographies; historical and Indigenous mapping; participatory and cognitive mapping.,3,False,,,,"One of GEOG 108, GEOG 109, GEOG 128, GEOG 129.",,,"GEOG 108,GEOG 109,GEOG 128,GEOG 129",False,True,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[{""type"":""INNER"",""subtype"":""N_OF"",""value"":1,""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 108"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 109"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 128"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 129"",""childNodes"":[]}]}]}"
783,GEOG 271,UBCO,2023,GEOG 271 Geographic Data Analysis,"Introduction to descriptive and inferential statistical analysis in geography and Earth sciences. Topics include descriptive statistics, elementary probability, statistics for spatial analysis, hypotheses testing, analysis of variance, correlation, and regression.",3,False,,,,(6 credits of 100- or 200-level courses in GEOG or EESC.),,,,True,False,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[{""type"":""INNER"",""subtype"":""N_OF"",""value"":6,""childNodes"":[{""type"":""INNER"",""subtype"":""CREDITS_IN"",""value"":""100- or 200-level courses"",""childNodes"":[{""type"":""INNER"",""subtype"":""COURSE"",""value"":""GEOG"",""childNodes"":[]},{""type"":""INNER"",""subtype"":""COURSE"",""value"":""EESC"",""childNodes"":[]}]}]}]}"
784,GEOG 290,UBCO,2023,GEOG 290 Introduction to the Geography of Canada,"Selected topics in human geography focusing on the regional distribution of natural resources, population, urban systems, and economic activities.",3,False,,,,,,,,True,False,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[]}"
785,GEOG 304,UBCO,2023,GEOG 304 Anthropogenic Climate Change,"Mechanisms of anthropogenic climate change and its impact on the atmosphere, hydrosphere, cryosphere, and oceans since the Industrial Revolution. Use of computer models to forecast 21st century climate changes. Credit will be granted for only one of GEOG 304 or EESC 304.",3,False,,EESC 304,,"One of GEOG 108, GEOG 200, EESC 212. (Third-year standing.)",EESC 304,,"GEOG 108,GEOG 200,EESC 212",False,True,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[{""type"":""INNER"",""subtype"":""N_OF"",""value"":1,""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 108"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 200"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""EESC 212"",""childNodes"":[]}]},{""type"":""INNER"",""subtype"":""Year"",""value"":""3"",""childNodes"":[]}]}"
786,GEOG 314,UBCO,2023,"GEOG 314 Environmental Impact Assessment: Process, Regulation and Administration","Legal, administrative and project management aspects of environmental impact assessment (EIA). EIA regulations, processes and systems. Assessment approaches and methods for cumulative effects, social/economic impacts, strategic and regional assessment, risk assessment and public participation. Canadian federal, territorial and provincial EIA systems. Credit will be granted for only one of GEOG 314 or EESC 314.",3,False,This course is restricted to students in year: >=3,EESC 314,,(Either (a) 6 credits of EESC or (b) 6 credits of GEOG. Third-year standing.),EESC 314,,,True,False,False,False,1,"{""type"":""ROOT"",""subtype"":""OR"",""value"":"""",""childNodes"":[{""type"":""INNER"",""subtype"":""CREDITS_IN"",""value"":""6"",""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""EESC"",""childNodes"":[]}]},{""type"":""INNER"",""subtype"":""CREDITS_IN"",""value"":""6"",""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG"",""childNodes"":[]}]},{""type"":""INNER"",""subtype"":""YEAR"",""value"":""3"",""childNodes"":[]}]}"
787,GEOG 316,UBCO,2023,GEOG 316 Geography of Natural Hazards,"The role of physical and biological hazards, human ecology, environmental perception and world social and political order in explaining the risk of natural disasters. Assessment of acceptable risk, disaster relief and reconstruction, and contrasts between developed and developing nations.",3,False,This course is restricted to students in year: >=3,,,"Either (a) GEOG 108 and GEOG 109; or (b) two of EESC 111, EESC 205, EESC 212, EESC 222, GEOG 200, GEOG 205, GEOG 222. (Third-year standing.)",,,"GEOG 108,GEOG 109,EESC 111,EESC 205,EESC 212,EESC 222,GEOG 200,GEOG 205,GEOG 222",False,True,False,False,1,"{""type"":""ROOT"",""subtype"":""OR"",""value"":"""",""childNodes"":[{""type"":""INNER"",""subtype"":""AND"",""value"":"""",""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 108"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 109"",""childNodes"":[]}]},{""type"":""INNER"",""subtype"":""N_OF"",""value"":2,""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""EESC 111"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""EESC 205"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""EESC 212"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""EESC 222"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 200"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 205"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 222"",""childNodes"":[]}]},{""type"":""INNER"",""subtype"":""Year"",""value"":""3"",""childNodes"":[]}]}"
